Movie_Id,Title,Status,Language,Budget,Revenue,Runtime,Release_Year,Release_Date,Popularity,Vote_Average,Vote_Count,Crew_Name,Actor_Name,Genre_Name,Company_Name,Country_Name
33,Unforgiven,Released,En,14000000,159157447,131,1992,07-08-1992 00:00,37.380435,7.7,1113,Clint Eastwood,Clint Eastwood,Western,Malpaso Productions,United States Of America
35,The Simpsons Movie,Released,En,75000000,527068851,87,2007,25-07-2007 00:00,46.875375,6.9,2264,David Silverman,Dan Castellaneta,Animation,Gracie Films,United States Of America
38,Eternal Sunshine of the Spotless Mind,Released,En,20000000,72258126,108,2004,19-03-2004 00:00,56.481487,7.9,3652,Michel Gondry,Jim Carrey,Science Fiction,Anonymous Content,United States Of America
55,Amores perros,Released,Es,2000000,20908467,154,2000,16-06-2000 00:00,23.281616,7.6,521,Alejandro González Iñárritu,Gael García Bernal,Drama,Altavista Films,Mexico
58,Pirates of the Caribbean: Dead Man's Chest,Released,En,200000000,1065659812,151,2006,20-06-2006 00:00,145.847379,7,5246,Gore Verbinski,Johnny Depp,Adventure,Walt Disney Pictures,Jamaica
59,A History of Violence,Released,En,32000000,60740827,96,2005,23-09-2005 00:00,34.628738,6.9,832,David Cronenberg,Viggo Mortensen,Drama,New Line Cinema,United States Of America
62,2001: A Space Odyssey,Released,En,10500000,68700000,149,1968,10-04-1968 00:00,86.201184,7.9,2998,Stanley Kubrick,Keir Dullea,Science Fiction,Stanley Kubrick Productions,United States Of America
65,8 Mile,Released,En,41000000,215000000,110,2002,08-11-2002 00:00,32.798571,6.8,1626,Curtis Hanson,Eminem,Drama,Imagine Entertainment,United States Of America
66,Absolute Power,Released,En,50000000,50068310,121,1997,14-02-1997 00:00,13.576765,6.4,223,Clint Eastwood,Clint Eastwood,Crime,Columbia Pictures,United States Of America
68,Brazil,Released,En,15000000,0,132,1985,20-02-1985 00:00,41.089863,7.5,861,Terry Gilliam,Jonathan Pryce,Comedy,Embassy International Pictures,United Kingdom
69,Walk the Line,Released,En,28000000,186438883,136,2005,13-09-2005 00:00,35.580032,7.3,718,James Mangold,Joaquin Phoenix,Drama,Tree Line Films,Germany
70,Million Dollar Baby,Released,En,30000000,216763646,132,2004,15-12-2004 00:00,70.456012,7.7,2439,Clint Eastwood,Clint Eastwood,Drama,Lakeshore Entertainment,United States Of America
71,Billy Elliot,Released,En,5000000,110000000,110,2000,18-05-2000 00:00,20.428237,7.4,750,Stephen Daldry,Jamie Bell,Drama,Bbc Films,France
73,American History X,Released,En,20000000,23875127,119,1998,30-10-1998 00:00,73.567232,8.2,3016,Tony Kaye,Edward Norton,Drama,New Line Cinema,United States Of America
74,War of the Worlds,Released,En,132000000,591739379,116,2005,28-06-2005 00:00,48.572726,6.2,2322,Steven Spielberg,Tom Cruise,Adventure,Paramount Pictures,United States Of America
75,Mars Attacks!,Released,En,70000000,101371017,106,1996,12-12-1996 00:00,44.090535,6.1,1509,Tim Burton,Jack Nicholson,Comedy,Tim Burton Productions,United States Of America
76,Before Sunrise,Released,En,2500000,5535405,105,1995,27-01-1995 00:00,23.672571,7.7,959,Richard Linklater,Ethan Hawke,Drama,Detour Film Production,Austria
77,Memento,Released,En,9000000,39723096,113,2000,11-10-2000 00:00,60.715151,8.1,4028,Christopher Nolan,Guy Pearce,Mystery,Summit Entertainment,United States Of America
78,Blade Runner,Released,En,28000000,33139618,117,1982,25-06-1982 00:00,94.056131,7.9,3509,Ridley Scott,Harrison Ford,Science Fiction,Shaw Brothers,United States Of America
79,Hero,Released,Zh,31000000,177394432,99,2002,19-12-2002 00:00,23.607392,7.2,635,Zhang Yimou,Jet Li,Drama,Beijing New Picture Film Co. Ltd.,China
80,Before Sunset,Released,En,2700000,15992615,80,2004,10-02-2004 00:00,14.799323,7.6,718,Richard Linklater,Ethan Hawke,Drama,Castle Rock Entertainment,United States Of America
83,Open Water,Released,En,130000,54667954,79,2004,06-08-2004 00:00,15.611857,5.4,315,Chris Kentis,Blanchard Ryan,Drama,Plunge Pictures Llc,United States Of America
85,Raiders of the Lost Ark,Released,En,18000000,389925971,115,1981,12-06-1981 00:00,68.159596,7.7,3854,Steven Spielberg,Harrison Ford,Adventure,Lucasfilm,United States Of America
87,Indiana Jones and the Temple of Doom,Released,En,28000000,333000000,118,1984,23-05-1984 00:00,66.976776,7.1,2781,Steven Spielberg,Harrison Ford,Adventure,Lucasfilm,United States Of America
89,Indiana Jones and the Last Crusade,Released,En,48000000,474171806,127,1989,24-05-1989 00:00,80.972475,7.6,3152,Steven Spielberg,Harrison Ford,Adventure,Lucasfilm,United States Of America
90,Beverly Hills Cop,Released,En,15000000,316360478,105,1984,29-11-1984 00:00,29.843818,6.8,961,Martin Brest,Eddie Murphy,Action,Paramount Pictures,United States Of America
95,Armageddon,Released,En,140000000,553799566,151,1998,01-07-1998 00:00,58.485967,6.4,2482,Michael Bay,Bruce Willis,Action,Jerry Bruckheimer Films,United States Of America
96,Beverly Hills Cop II,Released,En,20000000,299965036,100,1987,18-05-1987 00:00,25.28436,6.1,613,Tony Scott,Eddie Murphy,Action,Paramount Pictures,United States Of America
98,Gladiator,Released,En,103000000,457640427,155,2000,01-05-2000 00:00,95.301296,7.9,5439,Ridley Scott,Russell Crowe,Action,Dreamworks Skg,United Kingdom
100,"Lock, Stock and Two Smoking Barrels",Released,En,1350000,3897569,105,1998,05-03-1998 00:00,16.032594,7.5,1648,Guy Ritchie,Jason Flemyng,Comedy,Handmade Films Ltd.,United Kingdom
103,Taxi Driver,Released,En,1300000,28262574,114,1976,07-02-1976 00:00,58.845025,8,2535,Martin Scorsese,Robert De Niro,Crime,Columbia Pictures Corporation,United States Of America
104,Run Lola Run,Released,De,1530000,7267585,81,1998,20-08-1998 00:00,27.36562,7.2,664,Tom Tykwer,Franka Potente,Action,X-Filme Creative Pool,Germany
105,Back to the Future,Released,En,19000000,381109762,116,1985,03-07-1985 00:00,76.603233,8,6079,Robert Zemeckis,Michael J. Fox,Adventure,Universal Pictures,United States Of America
106,Predator,Released,En,18000000,98235548,107,1987,11-06-1987 00:00,50.009408,7.3,2093,John Mctiernan,Arnold Schwarzenegger,Science Fiction,Twentieth Century Fox Film Corporation,United States Of America
107,Snatch,Released,En,10000000,83557872,103,2000,01-09-2000 00:00,53.595686,7.7,2912,Guy Ritchie,Jason Statham,Thriller,Columbia Pictures Corporation,United Kingdom
111,Scarface,Released,En,25000000,65884703,170,1983,08-12-1983 00:00,70.105981,8,2948,Brian De Palma,Al Pacino,Action,Universal Pictures,United States Of America
114,Pretty Woman,Released,En,14000000,463000000,119,1990,23-03-1990 00:00,45.473484,7,1746,Garry Marshall,Julia Roberts,Romance,Touchstone Pictures,United States Of America
115,The Big Lebowski,Released,En,15000000,46189568,117,1998,06-03-1998 00:00,49.230089,7.8,2926,Joel Coen,Jeff Bridges,Comedy,Gramercy Pictures,United Kingdom
116,Match Point,Released,En,15000000,85306374,124,2005,26-10-2005 00:00,30.669913,7.3,1105,Woody Allen,Jonathan Rhys Meyers,Drama,Dreamworks,Ireland
117,The Untouchables,Released,En,25000000,76270454,119,1987,02-06-1987 00:00,38.272889,7.6,1384,Brian De Palma,Kevin Costner,Crime,Paramount Pictures,United States Of America
118,Charlie and the Chocolate Factory,Released,En,150000000,474968763,115,2005,13-07-2005 00:00,53.905592,6.7,3624,Tim Burton,Johnny Depp,Adventure,Village Roadshow Pictures,Australia
120,The Lord of the Rings: The Fellowship of the Ring,Released,En,93000000,871368364,178,2001,18-12-2001 00:00,138.049577,8,8705,Peter Jackson,Elijah Wood,Adventure,Wingnut Films,New Zealand
121,The Lord of the Rings: The Two Towers,Released,En,79000000,926287400,179,2002,18-12-2002 00:00,106.914973,8,7487,Peter Jackson,Elijah Wood,Adventure,Wingnut Films,New Zealand
122,The Lord of the Rings: The Return of the King,Released,En,94000000,1118888979,201,2003,01-12-2003 00:00,123.630332,8.1,8064,Peter Jackson,Elijah Wood,Adventure,Wingnut Films,New Zealand
128,Princess Mononoke,Released,Ja,26500000,159375308,134,1997,12-07-1997 00:00,60.732738,8.2,1983,Hayao Miyazaki,Y?ji Matsuda,Adventure,Miramax Films,Japan
129,Spirited Away,Released,Ja,15000000,274925095,125,2001,20-07-2001 00:00,118.968562,8.3,3840,Hayao Miyazaki,Rumi Hiiragi,Fantasy,Studio Ghibli,Japan
134,"O Brother, Where Art Thou?",Released,En,26000000,71868327,106,2000,30-08-2000 00:00,39.742009,7.3,1112,Joel Coen,George Clooney,Action,Universal Pictures,France
137,Groundhog Day,Released,En,14600000,70906973,101,1993,11-02-1993 00:00,52.744331,7.4,2301,Harold Ramis,Bill Murray,Romance,Columbia Pictures,United States Of America
141,Donnie Darko,Released,En,6000000,1270522,113,2001,18-01-2001 00:00,61.210016,7.7,3452,Richard Kelly,Jake Gyllenhaal,Fantasy,Pandora Cinema,United States Of America
142,Brokeback Mountain,Released,En,14000000,178043761,134,2005,02-09-2005 00:00,44.135568,7.5,1480,Ang Lee,Heath Ledger,Drama,River Road Entertainment,Canada
146,"Crouching Tiger, Hidden Dragon",Released,Zh,17000000,213525736,120,2000,01-10-2000 00:00,45.742254,7.2,927,Ang Lee,Chow Yun-Fat,Adventure,Sony Pictures Classics,China
149,Akira,Released,Ja,8000000,553171,124,1988,16-07-1988 00:00,39.338097,7.8,773,Katsuhiro Ōtomo,Mitsuo Iwata,Science Fiction,Bandai Visual Company,Japan
152,Star Trek: The Motion Picture,Released,En,35000000,139000000,132,1979,06-12-1979 00:00,24.616634,6.2,530,Robert Wise,William Shatner,Science Fiction,Paramount Pictures,United States Of America
153,Lost in Translation,Released,En,4000000,119723856,102,2003,31-08-2003 00:00,45.66662,7.3,1895,Sofia Coppola,Bill Murray,Drama,American Zoetrope,Japan
154,Star Trek II: The Wrath of Khan,Released,En,12000000,96800000,113,1982,03-06-1982 00:00,22.434102,7.3,675,Nicholas Meyer,William Shatner,Action,Paramount Pictures,United States Of America
155,The Dark Knight,Released,En,185000000,1004558444,152,2008,16-07-2008 00:00,187.322927,8.2,12002,Christopher Nolan,Christian Bale,Drama,Dc Comics,United Kingdom
157,Star Trek III: The Search for Spock,Released,En,18000000,87000000,105,1984,31-05-1984 00:00,15.314027,6.4,434,Leonard Nimoy,William Shatner,Science Fiction,Paramount Pictures,United States Of America
161,Ocean's Eleven,Released,En,85000000,450717150,116,2001,07-12-2001 00:00,60.929352,7.2,3783,Steven Soderbergh,George Clooney,Thriller,Village Roadshow Pictures,United States Of America
162,Edward Scissorhands,Released,En,20000000,53000000,105,1990,05-12-1990 00:00,47.51363,7.5,3601,Tim Burton,Johnny Depp,Fantasy,Twentieth Century Fox Film Corporation,United States Of America
163,Ocean's Twelve,Released,En,110000000,362744280,125,2004,09-12-2004 00:00,76.840712,6.4,2124,Steven Soderbergh,George Clooney,Thriller,Village Roadshow Pictures,United States Of America
165,Back to the Future Part II,Released,En,40000000,332000000,108,1989,20-11-1989 00:00,43.345252,7.4,3829,Robert Zemeckis,Michael J. Fox,Adventure,Universal Pictures,United States Of America
167,K-PAX,Released,En,48000000,50315140,120,2001,22-10-2001 00:00,30.920075,7.1,695,Iain Softley,Jeff Bridges,Drama,Intermedia Films,Germany
168,Star Trek IV: The Voyage Home,Released,En,24000000,133000000,119,1986,25-11-1986 00:00,22.258428,6.9,477,Leonard Nimoy,William Shatner,Science Fiction,Paramount Pictures,United States Of America
169,Predator 2,Released,En,35000000,57120318,108,1990,20-11-1990 00:00,27.934978,5.9,730,Stephen Hopkins,Kevin Peter Hall,Science Fiction,Twentieth Century Fox Film Corporation,United States Of America
170,28 Days Later,Released,En,5000000,82719885,113,2002,31-10-2002 00:00,45.490374,7.1,1777,Danny Boyle,Cillian Murphy,Horror,Dna Films,United Kingdom
172,Star Trek V: The Final Frontier,Released,En,30000000,70200000,107,1989,09-06-1989 00:00,19.578249,5.6,376,William Shatner,William Shatner,Science Fiction,Paramount Pictures,United States Of America
173,"20,000 Leagues Under the Sea",Released,En,5000000,28200000,127,1954,23-12-1954 00:00,9.358197,6.8,157,Richard Fleischer,Kirk Douglas,Adventure,Walt Disney Productions,United States Of America
174,Star Trek VI: The Undiscovered Country,Released,En,27000000,96900000,113,1991,05-12-1991 00:00,16.188572,6.7,413,Nicholas Meyer,William Shatner,Science Fiction,Paramount Pictures,United States Of America
176,Saw,Released,En,1200000,103911669,103,2004,01-10-2004 00:00,63.655973,7.2,2184,James Wan,Cary Elwes,Horror,Lions Gate Films,United States Of America
177,The Fisher King,Released,En,24000000,41895491,137,1991,09-09-1991 00:00,16.146572,7.2,341,Terry Gilliam,Jeff Bridges,Comedy,Tristar Pictures,United States Of America
179,The Interpreter,Released,En,80000000,162944923,128,2005,08-04-2005 00:00,18.69984,6.2,392,Sydney Pollack,Nicole Kidman,Crime,Universal Pictures,France
180,Minority Report,Released,En,102000000,358372926,145,2002,20-06-2002 00:00,65.948959,7.1,2608,Steven Spielberg,Tom Cruise,Action,Dreamworks Skg,United States Of America
182,The Good German,Released,En,32000000,5914908,108,2006,08-12-2006 00:00,5.347936,5.9,86,Steven Soderbergh,George Clooney,War,Warner Bros.,United States Of America
184,Jackie Brown,Released,En,12000000,39673162,154,1997,24-12-1997 00:00,40.631671,7.3,1514,Quentin Tarantino,Pam Grier,Comedy,Miramax Films,United States Of America
186,Lucky Number Slevin,Released,En,27000000,56308881,110,2006,24-02-2006 00:00,36.921445,7.4,1323,Paul Mcguigan,Josh Hartnett,Drama,The Weinstein Company,Germany
187,Sin City,Released,En,40000000,158733820,124,2005,01-04-2005 00:00,66.003433,7.2,2691,Frank Miller,Jessica Alba,Action,Dimension Films,United States Of America
189,Sin City: A Dame to Kill For,Released,En,65000000,39407616,102,2014,20-08-2014 00:00,85.428395,6.3,1286,Frank Miller,Mickey Rourke,Crime,Miramax Films,United States Of America
193,Star Trek: Generations,Released,En,38000000,120000000,118,1994,17-11-1994 00:00,14.779041,6.4,452,David Carson,Patrick Stewart,Science Fiction,Paramount Pictures,United States Of America
194,Amélie,Released,Fr,10000000,173921954,122,2001,25-04-2001 00:00,73.720244,7.8,3310,Jean-Pierre Jeunet,Audrey Tautou,Comedy,France 3 Cinéma,France
196,Back to the Future Part III,Released,En,40000000,244527583,118,1990,25-05-1990 00:00,45.769562,7.1,2900,Robert Zemeckis,Michael J. Fox,Adventure,Universal Pictures,United States Of America
197,Braveheart,Released,En,72000000,210000000,177,1995,24-05-1995 00:00,60.722162,7.7,3336,Mel Gibson,Mel Gibson,Action,Icon Entertainment International,United States Of America
199,Star Trek: First Contact,Released,En,46000000,150000000,111,1996,21-11-1996 00:00,25.6713,7,661,Jonathan Frakes,Patrick Stewart,Science Fiction,Paramount Pictures,United States Of America
200,Star Trek: Insurrection,Released,En,70000000,118000000,103,1998,10-12-1998 00:00,19.711951,6.3,391,Jonathan Frakes,Patrick Stewart,Science Fiction,Paramount Pictures,United States Of America
201,Star Trek: Nemesis,Released,En,60000000,67312826,117,2002,13-12-2002 00:00,21.605533,6.1,479,Stuart Baird,Patrick Stewart,Science Fiction,Paramount Pictures,United States Of America
203,Mean Streets,Released,En,500000,3000000,110,1973,02-10-1973 00:00,17.002096,7.2,345,Martin Scorsese,Harvey Keitel,Drama,Scorsese Productions,United States Of America
205,Hotel Rwanda,Released,En,17500000,38000000,121,2004,11-09-2004 00:00,28.60542,7.5,793,Terry George,Don Cheadle,Drama,Lions Gate Films,Canada
207,Dead Poets Society,Released,En,16400000,235860116,129,1989,02-06-1989 00:00,55.458584,8.1,2705,Peter Weir,Robin Williams,Drama,Touchstone Pictures,United States Of America
214,Saw III,Released,En,10000000,163876815,108,2006,27-10-2006 00:00,33.124871,6.1,1071,Darren Lynn Bousman,Tobin Bell,Horror,Lions Gate Films,United States Of America
215,Saw II,Released,En,4000000,152925093,92,2005,28-10-2005 00:00,42.187986,6.3,1251,Darren Lynn Bousman,Tobin Bell,Horror,Lions Gate Films,United States Of America
217,Indiana Jones and the Kingdom of the Crystal Skull,Released,En,185000000,786636033,122,2008,21-05-2008 00:00,75.674458,5.7,2495,Steven Spielberg,Harrison Ford,Adventure,Lucasfilm,United States Of America
218,The Terminator,Released,En,6400000,78371200,108,1984,26-10-1984 00:00,74.234793,7.3,4128,James Cameron,Arnold Schwarzenegger,Action,Orion Pictures,United Kingdom
219,Volver,Released,Es,12899867,85582407,121,2006,16-03-2006 00:00,19.747809,7.3,406,Pedro Almodóvar,Penélope Cruz,Comedy,El Deseo,Spain
223,Rebecca,Released,En,1288000,6000000,130,1940,12-04-1940 00:00,18.426825,7.7,336,Alfred Hitchcock,Laurence Olivier,Drama,Selznick International Pictures,United States Of America
226,Boys Don't Cry,Released,En,2000000,11540607,118,1999,02-09-1999 00:00,15.557144,7.2,353,Kimberly Peirce,Hilary Swank,Crime,Fox Searchlight Pictures,United States Of America
227,The Outsiders,Released,En,10000000,33697647,91,1983,25-03-1983 00:00,13.455373,6.9,291,Francis Ford Coppola,Matt Dillon,Crime,American Zoetrope,United States Of America
231,Syriana,Released,En,50000000,94000000,128,2005,23-11-2005 00:00,16.871194,6.3,451,Stephen Gaghan,George Clooney,Drama,Section Eight,United States Of America
235,Stand by Me,Released,En,8000000,52287414,89,1986,22-08-1986 00:00,51.109279,7.8,1522,Rob Reiner,Wil Wheaton,Crime,Columbia Pictures,United States Of America
238,The Godfather,Released,En,6000000,245066411,175,1972,14-03-1972 00:00,143.659698,8.4,5893,Francis Ford Coppola,Marlon Brando,Drama,Paramount Pictures,United States Of America
239,Some Like It Hot,Released,En,2883848,25000000,122,1959,18-03-1959 00:00,39.30982,8,808,Billy Wilder,Marilyn Monroe,Comedy,The Mirisch Corporation,United States Of America
240,The Godfather: Part II,Released,En,13000000,47542841,200,1974,20-12-1974 00:00,105.792936,8.3,3338,Francis Ford Coppola,Al Pacino,Drama,Paramount Pictures,United States Of America
242,The Godfather: Part III,Released,En,54000000,136766062,162,1990,24-12-1990 00:00,59.194915,7.1,1546,Francis Ford Coppola,Al Pacino,Crime,Paramount Pictures,Italy
243,High Fidelity,Released,En,30000000,47126295,113,2000,17-03-2000 00:00,23.982956,7,628,Stephen Frears,John Cusack,Comedy,Buena Vista,United Kingdom
245,About a Boy,Released,En,27000000,129000000,101,2002,26-04-2002 00:00,28.227984,6.6,607,Chris Weitz,Hugh Grant,Drama,Universal Pictures,United Kingdom
248,Pocketful of Miracles,Released,En,2900000,5000000,136,1961,18-12-1961 00:00,3.370225,7.3,25,Frank Capra,Glenn Ford,Comedy,Franton Production,United States Of America
251,Ghost,Released,En,22000000,505000000,127,1990,12-07-1990 00:00,41.967005,6.9,1339,Jerry Zucker,Patrick Swayze,Fantasy,Paramount Pictures,United States Of America
252,Willy Wonka & the Chocolate Factory,Released,En,3000000,4000000,100,1971,29-06-1971 00:00,23.981601,7.4,798,Mel Stuart,Gene Wilder,Family,Paramount Pictures,United States Of America
253,Live and Let Die,Released,En,7000000,161777836,121,1973,05-07-1973 00:00,30.465138,6.4,533,Guy Hamilton,Roger Moore,Adventure,United Artists,United Kingdom
254,King Kong,Released,En,207000000,550000000,187,2005,14-12-2005 00:00,61.22601,6.6,2337,Peter Jackson,Naomi Watts,Adventure,Wingnut Films,New Zealand
257,Oliver Twist,Released,En,50000000,42093706,130,2005,23-09-2005 00:00,20.415572,6.7,274,Roman Polanski,Barney Clark,Crime,R.P. Productions,Czech Republic
261,Cat on a Hot Tin Roof,Released,En,3000000,17570324,108,1958,17-02-1958 00:00,16.553594,7.6,165,Richard Brooks,Elizabeth Taylor,Drama,Avon Production,United States Of America
268,Batman,Released,En,35000000,411348924,126,1989,23-06-1989 00:00,44.104469,7,2096,Tim Burton,Jack Nicholson,Fantasy,Polygram Filmed Entertainment,United Kingdom
272,Batman Begins,Released,En,150000000,374218673,140,2005,10-06-2005 00:00,115.040024,7.5,7359,Christopher Nolan,Christian Bale,Action,Dc Comics,United Kingdom
274,The Silence of the Lambs,Released,En,19000000,272742922,119,1991,01-02-1991 00:00,18.174804,8.1,4443,Jonathan Demme,Jodie Foster,Crime,Orion Pictures,United States Of America
277,Underworld,Released,En,22000000,95708457,121,2003,19-09-2003 00:00,81.829237,6.6,2512,Len Wiseman,Kate Beckinsale,Fantasy,Lakeshore Entertainment,Germany
278,The Shawshank Redemption,Released,En,25000000,28341469,142,1994,23-09-1994 00:00,136.747729,8.5,8205,Frank Darabont,Tim Robbins,Drama,Castle Rock Entertainment,United States Of America
279,Amadeus,Released,En,18000000,51973029,160,1984,26-10-1984 00:00,31.82675,7.8,1076,Miloš Forman,F. Murray Abraham,Drama,Warner Bros.,United States Of America
280,Terminator 2: Judgment Day,Released,En,100000000,520000000,137,1991,01-07-1991 00:00,101.74155,7.7,4185,James Cameron,Arnold Schwarzenegger,Action,Lightstorm Entertainment,France
284,The Apartment,Released,En,3000000,25000000,125,1960,15-06-1960 00:00,22.889294,8.1,483,Billy Wilder,Jack Lemmon,Comedy,United Artists,United States Of America
285,Pirates of the Caribbean: At World's End,Released,En,300000000,961000000,169,2007,19-05-2007 00:00,139.082615,6.9,4500,Gore Verbinski,Johnny Depp,Adventure,Walt Disney Pictures,United States Of America
288,High Noon,Released,En,730000,8000000,85,1952,27-03-1952 00:00,18.644023,7.6,334,Fred Zinnemann,Gary Cooper,Western,United Artists,United States Of America
289,Casablanca,Released,En,878000,10462500,102,1942,26-11-1942 00:00,43.729123,7.9,1422,Michael Curtiz,Humphrey Bogart,Drama,Warner Bros.,United States Of America
291,Riding Giants,Released,En,2600000,3166000,105,2004,09-07-2004 00:00,0.895946,7.6,23,Stacy Peralta,Jeff Clark,Documentary,,France
292,Dave Chappelle's Block Party,Released,En,3000000,11718595,100,2005,12-09-2005 00:00,1.697846,6.4,28,Michel Gondry,Dave Chappelle,Comedy,Yari Film Group,United States Of America
296,Terminator 3: Rise of the Machines,Released,En,200000000,435000000,109,2003,02-07-2003 00:00,69.405188,5.9,2143,Jonathan Mostow,Arnold Schwarzenegger,Action,Columbia Pictures,Germany
297,Meet Joe Black,Released,En,90000000,142940100,178,1998,12-11-1998 00:00,36.069611,6.9,1147,Martin Brest,Brad Pitt,Fantasy,Universal Pictures,United States Of America
298,Ocean's Thirteen,Released,En,85000000,311312624,122,2007,07-06-2007 00:00,42.069993,6.5,1999,Steven Soderbergh,George Clooney,Crime,Village Roadshow Pictures,United States Of America
302,Swimming Pool,Released,En,7800000,22441323,102,2003,18-05-2003 00:00,11.000654,6.4,153,François Ozon,Charlotte Rampling,Thriller,France 2 Cinéma,France
306,Beverly Hills Cop III,Released,En,50000000,119208989,104,1994,24-05-1994 00:00,20.333953,5.5,434,John Landis,Eddie Murphy,Action,Paramount Pictures,United States Of America
309,The Celebration,Released,Da,1300000,0,105,1998,20-05-1998 00:00,10.240917,7.7,207,Thomas Vinterberg,Ulrich Thomsen,Drama,Nordic Film,Denmark
310,Bruce Almighty,Released,En,80000000,484572835,101,2003,23-05-2003 00:00,109.684788,6.4,3012,Tom Shadyac,Jim Carrey,Fantasy,Universal Pictures,United States Of America
311,Once Upon a Time in America,Released,En,30000000,0,229,1984,16-02-1984 00:00,49.336397,8.2,1069,Sergio Leone,Robert De Niro,Drama,Warner Bros.,United States Of America
314,Catwoman,Released,En,100000000,82102379,104,2004,22-07-2004 00:00,32.271938,4.2,808,Pitof,Halle Berry,Action,Village Roadshow Pictures,United States Of America
319,True Romance,Released,En,12500000,12281551,120,1993,09-09-1993 00:00,35.268557,7.5,749,Tony Scott,Christian Slater,Action,Davis-Films,United States Of America
320,Insomnia,Released,En,46000000,113714830,118,2002,24-05-2002 00:00,41.322708,6.8,1148,Christopher Nolan,Al Pacino,Crime,Section Eight,United States Of America
321,Mambo Italiano,Released,En,4361898,3031801,92,2003,06-06-2003 00:00,2.080741,5.6,28,Émile Gaudreault,Luke Kirby,Comedy,Icon,Canada
322,Mystic River,Released,En,25000000,156822020,138,2003,07-10-2003 00:00,31.242999,7.6,1422,Clint Eastwood,Sean Penn,Thriller,Village Roadshow Pictures,United States Of America
326,Snakes on a Plane,Released,En,33000000,62022014,105,2006,06-08-2006 00:00,19.642328,5.1,497,David R. Ellis,Samuel L. Jackson,Action,New Line Cinema,United States Of America
327,Brother,Released,Ja,12000000,15250000,114,2000,09-09-2000 00:00,5.327714,6.8,107,Takeshi Kitano,Takeshi Kitano,Crime,Bandai Visual Company,United Kingdom
329,Jurassic Park,Released,En,63000000,920100000,127,1993,11-06-1993 00:00,40.413191,7.6,4856,Steven Spielberg,Sam Neill,Adventure,Universal Pictures,United States Of America
330,The Lost World: Jurassic Park,Released,En,73000000,229074524,129,1997,23-05-1997 00:00,2.502487,6.2,2487,Steven Spielberg,Jeff Goldblum,Adventure,Universal Pictures,United States Of America
331,Jurassic Park III,Released,En,93000000,368780809,92,2001,18-07-2001 00:00,1.859364,5.7,2077,Joe Johnston,Sam Neill,Adventure,Universal Studios,United States Of America
332,Inspector Gadget,Released,En,75000000,0,78,1999,23-07-1999 00:00,17.561955,4.3,318,David Kellogg,Matthew Broderick,Action,Walt Disney Pictures,United States Of America
334,Magnolia,Released,En,37000000,48451803,188,1999,08-12-1999 00:00,30.993736,7.5,825,Paul Thomas Anderson,Julianne Moore,Drama,New Line Cinema,United States Of America
335,Once Upon a Time in the West,Released,It,5000000,5321508,175,1968,21-12-1968 00:00,49.333137,8.1,1128,Sergio Leone,Henry Fonda,Western,Paramount Pictures,Italy
